#|num|weight|mean|covariance matrix|
|10|474.235248868|-3.21134508306 2.81570145634 -23.0435638733|74.7321784439 -1.79197253276 -37.8691626319 -1.79197253276 91.3929842118 -7.98395720462 -37.8691626319 -7.98395720462 57.697421951|
|11|2287.62132937|-18.8071574257 -1.74545723753 -5.68873860863|26.2900637535 -4.07516775813 -3.60070504348 -4.07516775813 35.1304434882 -3.78684555588 -3.60070504348 -3.78684555588 33.6393823446|
|12|715.967199375|5.30226159173 18.3544806834 -25.0140874031|68.966329211 -13.2266723987 -29.6793538316 -13.2266723987 62.7152712379 11.4989792679 -29.6793538316 11.4989792679 59.8592048149|
|13|1290.05812836|1.51485731732 17.3736534191 -14.0950972621|48.1354983757 -5.08587681684 -19.5048410874 -5.08587681684 78.1535429903 -25.1891119949 -19.5048410874 -25.1891119949 54.0784776124|
|14|1569.43311721|0.825772088046 0.911920821154 -8.01716515463|34.3491487413 9.13017189401 -13.9487661329 9.13017189401 75.3745347689 -8.68155815358 -13.9487661329 -8.68155815358 42.607484062|
|15|1194.97785675|-0.208179967736 24.5164848594 -19.1710612141|54.5176753099 -6.46813003075 -14.811826958 -6.46813003075 47.7105509508 -2.71681765602 -14.811826958 -2.71681765602 43.4271905397|
|16|872.69255463|-14.9031527139 4.93767394279 -10.7192978178|37.9448851827 15.7296266302 -13.7411322147 15.7296266302 48.9193047469 -14.2622376354 -13.7411322147 -14.2622376354 56.0697973208|
|17|1152.1667381|13.8735683925 4.83575160594 -33.9466084945|44.1091432782 3.2186430165 -1.63952004975 3.2186430165 74.5158909048 -2.74115489709 -1.63952004975 -2.74115489709 32.1676169249|
|18|644.823420598|-2.58190094403 -5.20686586481 -11.8443351875|41.8877658697 -0.33080982397 -9.21973239962 -0.33080982397 55.415442105 13.5135262889 -9.21973239962 13.5135262889 71.4308537896|
|19|947.560530382|-5.74632775257 -6.62713963825 -21.4346580046|48.402764224 -14.2409444228 -12.8136025374 -14.2409444228 54.9046291458 7.56750755961 -12.8136025374 7.56750755961 31.102400753|
|20|1374.21620676|-13.4775876315 1.71181897317 -16.5525392203|40.2414852777 3.3089227596 -25.5251659499 3.3089227596 53.6543257807 -6.06725563591 -25.5251659499 -6.06725563591 51.1881919418|
|21|2188.83348723|1.473833835 -18.9945725568 -27.4962093016|20.1956872128 10.8167690506 -0.919908458327 10.8167690506 49.6684232197 -0.851559433147 -0.919908458327 -0.851559433147 35.5099212298|
|22|665.368634115|-2.51033342344 2.98767816098 -6.85587932304|48.4864945167 1.87555560066 -15.4308292086 1.87555560066 74.6758947721 -7.73786605144 -15.4308292086 -7.73786605144 45.3055697603|
|23|1204.1159951|-3.98064734177 21.3633170554 -23.2465028279|48.2834337724 3.83599770691 -17.5092261166 3.83599770691 65.679462939 12.6981045567 -17.5092261166 12.6981045567 39.7679299274|
|24|699.148044044|9.9325224091 7.97141326217 -31.6420406338|55.4322968744 -15.8004428958 -9.08097901434 -15.8004428958 79.574815354 8.42581827783 -9.08097901434 8.42581827783 40.3140298537|
|25|358.23156322|0.176042012472 9.24553999954 -22.2188483938|80.0640832573 5.47787682338 -34.6131459901 5.47787682338 106.123168347 -1.15415039034 -34.6131459901 -1.15415039034 69.1469965786|
|26|380.324109603|-5.9913723813 1.41218856371 -10.7664527432|59.3557758678 -0.613659799558 -9.43547338075 -0.613659799558 73.7592286636 -1.12365436073 -9.43547338075 -1.12365436073 65.095801903|
